price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,location,property_age
45077615,3779,4,4,4,yes,yes,no,yes,yes,2,no,furnished,Koregaon Park,11
48926496,3581,4,3,3,yes,no,yes,no,yes,1,yes,semi-furnished,Greater Kailash,2
37986865,3928,4,4,4,yes,no,no,no,no,3,no,semi-furnished,Hauz Khas,19
29197819,2948,3,3,1,yes,no,no,no,yes,3,no,semi-furnished,Alipore,22
48758711,3740,4,4,2,yes,yes,no,no,yes,3,no,furnished,Hauz Khas,10
19833109,3309,4,3,4,yes,yes,yes,no,no,1,no,semi-furnished,Salt Lake,25
21124305,1882,2,2,4,no,no,yes,no,no,1,yes,furnished,Gachibowli,8
21667469,2781,3,3,1,yes,no,yes,no,no,1,yes,semi-furnished,Gachibowli,22
53907426,3730,4,4,4,yes,yes,no,no,yes,2,yes,furnished,Poes Garden,23
21151411,1598,2,2,2,yes,yes,no,yes,yes,0,no,semi-furnished,Greater Kailash,11
40019906,3709,4,4,2,no,yes,no,no,yes,2,yes,semi-furnished,Cyber City,11
39978185,3725,4,3,3,yes,yes,no,no,yes,3,no,furnished,Defence Colony,25
28941875,2464,3,2,3,yes,no,no,yes,no,1,yes,unfurnished,Adyar,3
20303037,2139,2,2,2,no,no,no,yes,no,3,no,semi-furnished,Salt Lake,1
36138823,3644,4,4,3,yes,yes,yes,no,yes,2,no,furnished,Koregaon Park,25
36323510,3904,4,4,2,yes,yes,no,no,no,3,no,furnished,Kalyani Nagar,17
61682552,3417,4,4,2,yes,yes,yes,yes,yes,2,yes,unfurnished,Juhu,5
33143846,2861,3,2,3,yes,yes,yes,no,yes,3,no,semi-furnished,Defence Colony,20
24584916,2708,3,2,1,yes,no,no,no,yes,2,no,semi-furnished,Adyar,15
31953953,2695,3,3,2,yes,yes,yes,no,yes,2,no,furnished,Gachibowli,6
34403489,2705,3,2,1,yes,no,no,no,yes,3,yes,unfurnished,Bandra West,15
20666572,2927,3,3,4,no,no,no,yes,yes,1,no,furnished,Cyber City,25
23506724,1961,2,1,2,no,yes,no,no,yes,2,yes,semi-furnished,Greater Kailash,14
30047469,2902,3,3,2,no,yes,no,no,yes,2,no,semi-furnished,Koramangala,13
25134640,1924,2,1,1,yes,yes,yes,no,no,1,no,furnished,Juhu,17
49914062,3450,4,4,3,yes,yes,yes,yes,yes,2,yes,semi-furnished,Koregaon Park,4
39036122,2402,3,2,4,no,no,yes,yes,no,3,no,unfurnished,Boat Club,8
31489872,3855,4,4,3,yes,no,no,no,yes,2,yes,semi-furnished,Whitefield,19
37088388,2812,3,3,3,no,yes,yes,yes,yes,2,yes,furnished,HITEC City,4
38974476,3703,4,4,4,yes,yes,no,no,yes,2,no,semi-furnished,Jubilee Hills,18
39522931,3043,3,3,1,yes,yes,yes,no,no,3,no,semi-furnished,Boat Club,23
27114490,3134,4,3,3,yes,no,no,no,yes,1,no,furnished,Alipore,29
60920145,5366,6,5,4,yes,no,yes,yes,yes,2,no,unfurnished,Powai,0
42372493,2980,3,2,1,yes,no,yes,no,yes,3,yes,semi-furnished,Poes Garden,21
19009695,2743,3,2,1,no,no,yes,no,yes,3,no,unfurnished,Greater Kailash,27
37514197,2948,3,3,2,yes,yes,no,yes,yes,2,no,furnished,Greater Kailash,9
40801013,2803,3,3,1,no,yes,no,no,yes,2,no,furnished,Hauz Khas,3
29442704,3396,4,3,3,yes,yes,yes,yes,yes,2,no,unfurnished,Salt Lake,10
43897971,3640,4,4,4,yes,yes,no,no,yes,1,no,semi-furnished,Cyber City,1
29781661,2762,3,3,3,yes,yes,yes,no,yes,3,yes,semi-furnished,Andheri West,16
19786286,2013,2,2,2,yes,no,yes,no,no,2,no,semi-furnished,Juhu,22
47125581,4518,5,4,4,yes,no,no,yes,yes,3,yes,semi-furnished,Indiranagar,14
66145551,4558,5,5,3,yes,yes,no,no,yes,2,no,unfurnished,Defence Colony,0
40457945,4399,5,4,4,no,no,no,no,yes,3,no,unfurnished,Andheri West,8
50014657,3754,4,4,3,yes,no,no,no,yes,3,yes,furnished,Poes Garden,27
33973152,4402,5,4,3,yes,no,no,no,yes,2,yes,unfurnished,Gachibowli,24
42635155,5309,6,5,4,yes,yes,no,no,yes,3,no,unfurnished,Anna Nagar,28
37397002,4729,5,5,2,yes,no,no,no,yes,3,no,unfurnished,Whitefield,16
51829134,5487,6,5,4,yes,yes,no,yes,yes,1,no,semi-furnished,Koregaon Park,22
41996465,2844,3,3,1,yes,yes,no,no,yes,3,no,semi-furnished,Poes Garden,17
39307360,3784,4,4,3,yes,yes,no,no,yes,2,no,furnished,Gachibowli,6
18773446,2646,3,3,2,yes,no,no,no,yes,3,no,furnished,Salt Lake,22
40235867,3879,4,4,3,no,yes,no,yes,no,2,no,semi-furnished,Powai,6
49079924,4840,5,4,3,no,no,yes,no,yes,3,yes,furnished,Cyber City,14
37972199,2755,3,3,2,yes,yes,yes,no,yes,1,yes,semi-furnished,Bandra West,16
23888981,3013,3,2,3,yes,yes,no,yes,yes,3,no,furnished,Dwarka,12
30725047,3328,4,3,2,yes,yes,yes,no,yes,1,no,semi-furnished,Andheri West,16
32985946,3363,4,3,3,yes,yes,no,no,yes,1,yes,semi-furnished,Greater Kailash,24
28507980,2866,3,2,1,yes,yes,yes,yes,yes,2,no,unfurnished,Whitefield,7
56441560,3586,4,4,3,yes,yes,no,no,yes,2,yes,furnished,Defence Colony,7
30777124,3659,4,4,4,yes,no,no,no,yes,1,yes,unfurnished,Powai,26
19103855,1845,2,2,2,no,no,no,no,no,1,no,semi-furnished,Kalyani Nagar,6
31063038,2963,3,2,1,no,yes,no,no,yes,2,yes,unfurnished,Greater Kailash,16
29233130,2830,3,2,1,yes,yes,yes,no,yes,3,yes,semi-furnished,Jubilee Hills,26
36166762,4018,4,4,3,yes,no,yes,no,yes,3,no,semi-furnished,Hauz Khas,28
36827212,3164,3,3,2,yes,no,no,no,yes,3,yes,furnished,Andheri West,6
56515766,5149,6,5,4,yes,no,yes,no,yes,1,yes,semi-furnished,Powai,10
45197856,5121,6,5,2,yes,yes,yes,yes,yes,3,no,semi-furnished,Gachibowli,17
35873590,3699,4,4,3,yes,yes,no,no,yes,3,no,semi-furnished,Cyber City,17
34136794,3139,3,3,2,yes,no,yes,no,yes,3,no,semi-furnished,HITEC City,7
30170962,3107,3,2,1,no,no,no,no,yes,3,yes,furnished,Jayanagar,15
41095241,5392,6,5,2,yes,yes,no,yes,yes,3,no,furnished,Gachibowli,27
28845586,2964,3,2,1,yes,yes,yes,no,yes,3,no,furnished,Indiranagar,21
29136523,2830,3,3,3,yes,yes,no,no,yes,2,yes,furnished,Banjara Hills,24
37939673,4589,5,5,3,yes,no,no,no,yes,2,no,semi-furnished,Jayanagar,21
58822197,3880,4,4,2,yes,no,no,no,yes,3,yes,furnished,Boat Club,22
21214117,1485,2,1,3,no,no,no,no,yes,0,no,furnished,Kalyani Nagar,2
29439221,2887,3,2,1,yes,yes,no,no,yes,3,no,furnished,Gachibowli,10
45533871,3490,4,3,4,yes,no,yes,yes,yes,1,yes,furnished,Juhu,23
34094080,2844,3,3,3,yes,yes,no,no,yes,3,yes,furnished,Jayanagar,12
57198983,3336,4,3,2,yes,yes,no,no,yes,2,yes,semi-furnished,South Mumbai,18
40480616,4351,5,4,3,yes,yes,no,no,yes,2,no,furnished,HITEC City,17
34274658,3983,4,4,3,yes,yes,no,no,yes,2,no,furnished,Cyber City,24
42479967,3623,4,3,4,yes,yes,yes,no,yes,3,no,semi-furnished,Poes Garden,29
48222981,3800,4,4,2,yes,no,yes,no,yes,3,yes,furnished,Jayanagar,2
31968242,1794,2,2,4,yes,no,yes,no,yes,1,yes,semi-furnished,Bandra West,8
23799396,2763,3,3,1,yes,yes,no,no,no,2,no,furnished,Banjara Hills,23
35386694,3923,4,4,4,yes,yes,yes,no,yes,3,yes,unfurnished,Banjara Hills,29
14075928,1832,2,2,3,no,no,no,no,no,1,no,unfurnished,Hauz Khas,16
51181401,3134,4,3,3,yes,no,no,no,yes,1,yes,furnished,Poes Garden,15
19197956,2556,3,2,1,no,no,no,no,yes,1,no,furnished,Adyar,21
30644780,2181,2,2,2,yes,no,no,no,yes,3,yes,semi-furnished,Anna Nagar,4
